Date,SP500,HKHSI,Nikkei225
11/30/2018,0.008137548,0.002104345,0.003965649
12/3/2018,0.010882002,0.025157009,0.009958686
12/4/2018,-0.032900229,0.00288012,-0.024152674
12/6/2018,-0.001523388,-0.025042764,-0.019240658
12/7/2018,-0.023596335,-0.003547336,0.008201034
12/10/2018,0.001760603,-0.012018751,-0.021408704
12/11/2018,-0.00035641,0.00074874,-0.003374308
12/12/2018,0.005404871,0.015976242,0.021274359
12/13/2018,-0.00019995,0.012811098,0.009831708
12/14/2018,-0.019271212,-0.016327523,-0.020438264
12/17/2018,-0.020992285,-0.000260952,0.006158859
12/18/2018,8.64E-05,-0.010548025,-0.018367961
12/19/2018,-0.015515459,0.001979141,-0.006057933
12/20/2018,-0.015897809,-0.009394763,-0.028775917
12/21/2018,-0.020803121,0.005056388,-0.0111637
12/27/2018,0.008526229,-0.006747497,0.038099504
12/28/2018,-0.001242354,0.000993206,-0.003135242
1/4/2019,0.033759399,0.022161712,-0.022883566
1/7/2019,0.006985976,0.008148622,0.024092001
1/8/2019,0.009648587,0.001537386,0.008203625
1/9/2019,0.004089671,0.022427234,0.010977981
1/10/2019,0.004508242,0.002231227,-0.012971563
1/11/2019,-0.000146309,0.005483879,0.009668462
1/15/2019,0.010664619,0.020025996,0.009560865
1/16/2019,0.002219521,0.002672898,-0.005489987
1/17/2019,0.007562731,-0.005459385,-0.00198215
1/18/2019,0.013096913,0.012449626,0.012847094
1/22/2019,-0.014258477,-0.007051056,-0.004664483
1/23/2019,0.00220049,0.000101826,-0.001416392
1/24/2019,0.00137478,0.004167121,-0.000927404
1/25/2019,0.008452868,0.01639121,0.009622245
1/28/2019,-0.007877776,0.000281851,-0.006014159
1/29/2019,-0.001457308,-0.001643345,0.000757165
1/30/2019,0.01542961,0.004029761,-0.005244964
1/31/2019,0.008560649,0.010780688,0.010498573
2/1/2019,0.000898206,-0.000419896,0.000717022
2/4/2019,0.006753381,0.002126957,0.004577592
2/8/2019,0.000675973,-0.001569301,-0.020354359
2/12/2019,0.012807853,0.0009763,0.025781757
2/13/2019,0.003019432,0.01151472,0.013343605
2/14/2019,-0.002655163,-0.002302459,-0.000225594
2/15/2019,0.010820005,-0.018860267,-0.011373963
2/19/2019,0.001497621,-0.00420252,0.000976918
2/20/2019,0.001775533,0.010077947,0.00602985
2/21/2019,-0.003532669,0.004055346,0.001526504
2/22/2019,0.006390639,0.006488904,-0.001805593
2/25/2019,0.001231104,0.004950197,0.004782862
2/26/2019,-0.00079077,-0.006486627,-0.003668883
2/27/2019,-0.000544197,-0.000508299,0.004981612
2/28/2019,-0.002829508,-0.004330323,-0.007980617
3/1/2019,0.006871657,0.00623169,0.010120588
3/4/2019,-0.003888107,0.00510354,0.010102607
3/5/2019,-0.001132174,6.94E-05,-0.00439787
3/6/2019,-0.006545474,0.002620727,-0.005976911
3/7/2019,-0.008158911,-0.008929965,-0.006540862
3/8/2019,-0.002133964,-0.019332295,-0.020265915
3/11/2019,0.014559536,0.009690628,0.00472256
3/12/2019,0.002948966,0.014543553,0.017763097
3/13/2019,0.006925547,-0.003929443,-0.00997576
3/14/2019,-0.0008684,0.001524187,-0.000151287
3/15/2019,0.004972519,0.005560298,0.007666778
3/18/2019,0.003699097,0.013582591,0.006211211
3/19/2019,-0.00013057,0.001945453,-0.000818069
3/20/2019,-0.002948697,-0.004943551,0.001948793
3/22/2019,-0.019156827,0.001436758,0.000852059
3/25/2019,-0.000839373,-0.020474118,-0.030526434
3/26/2019,0.007157053,0.001526024,0.021284894
3/27/2019,-0.004655143,0.005631899,-0.002320183
3/28/2019,0.003583055,0.001633326,-0.01626777
